product_id,name,name_amharic,description,description_amharic,category,subcategory,price,currency,brand,manufacturer,city,area,delivery_available,delivery_time_days,rating,review_count,stock_status,stock_quantity,weight_kg,dimensions,warranty_months,date_added,last_updated,seller_name,seller_rating,tags
ETP06253,ባህላዊ መጽሐፍ ዩኒቭርሳል,,"Textbooks. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Hawassa, Lake Side. Perfect for dry season. ",,Books,Educational,3200,ETB,EPHI Press,Made in Addis Ababa,Hawassa,Lake Side,No,0,4.0,165,Out of Stock,0,23.55,39x87x45 cm,3,2024-12-04,2025-12-12,Hawassa Store,3.7,"Books,Educational,Hawassa,Ethiopian-made"
ETP04685,Ethiopian Spices Pro,,"Mitmita spice. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Bole. ",,Food & Beverages,Spices,4400,ETB,Sheba Honey,Made in Ethiopia,Addis Ababa,Bole,No,0,3.6,112,Out of Stock,0,24.5,43x81x8 cm,3,2024-03-13,2025-12-07,Addis Ababa Mart,3.1,"Food & Beverages,Spices,Addis Ababa,Ethiopian-made"
ETP01732,ኢትዮጵያ ጠረጴዛ ስፔሻል,,"Traditional cosmetics. Made in Ethiopia with high quality materials. Suitable for office use. Available in Gondar, Royal City. ",,Health & Beauty,Cosmetics,350,ETB,Sheba Cosmetics,Made in Addis Ababa,Gondar,Royal City,No,0,3.3,4,Out of Stock,0,47.01,22x71x38 cm,6,2024-08-31,2025-12-03,Gondar Mart,4.4,"Health & Beauty,Cosmetics,Gondar,Ethiopian-made"
ETP04743,ማርያም ማሽን ኤስ,ስማርት ቡና,"Traditional furniture. Made in Ethiopia with high quality materials. Suitable for commercial use. Available in Addis Ababa, Bole. Perfect for rainy season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ furniture,Home & Kitchen,Furniture,1000,ETB,Lucy Kitchenware,Made in Dire Dawa,Addis Ababa,Bole,No,0,3.2,95,In Stock,93,14.08,42x57x27 cm,6,2025-04-18,2025-11-27,Addis Ababa Mart,5.0,"Home & Kitchen,Furniture,Addis Ababa,Ethiopian-made"
ETP04522,ባህላዊ ቲቪ ስፔሻል,ብርሃን ሻይ,"Outdoor games. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Bole. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ outdoor,Sports,Outdoor,13300,ETB,Abebe Bikila Sports,Made in Ethiopia,Addis Ababa,Bole,Yes,4,4.5,132,In Stock,301,20.01,70x70x41 cm,12,2024-10-13,2025-11-26,Addis Ababa Trading,4.2,"Sports,Outdoor,Addis Ababa,Ethiopian-made"
ETP06341,Ethiopian Medicines Pro,,"Over-the-counter medicines. Made in Ethiopia with high quality materials. Suitable for home use. Available in Hawassa, Lake Side. Perfect for rainy season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ medicines,Health & Beauty,Medicines,3000,ETB,Lucy Beauty,Made in Dire Dawa,Hawassa,Lake Side,No,0,5.0,10,Low Stock,124,22.48,85x76x21 cm,3,2024-06-07,2025-12-13,Hawassa Store,5.0,"Health & Beauty,Medicines,Hawassa,Imported"
ETP00577,ብርሃን ሻይ ሊት,,"Skin care products. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Merkato. Perfect for holiday season. ",,Health & Beauty,Cosmetics,1100,ETB,Ethio Pharma,Made in Bahir Dar,Addis Ababa,Merkato,No,0,4.1,483,In Stock,596,23.21,40x11x46 cm,6,2024-04-03,2025-12-12,Addis Ababa Trading,4.4,"Health & Beauty,Cosmetics,Addis Ababa,Ethiopian-made"
ETP05203,ስማርት ቡና ዩኒቭርሳል,,"Story books. Made in Ethiopia with high quality materials. Suitable for home use. Available in Jimma, Main Market. ",,Books,Children,1300,ETB,Addis Ababa University Press,Made in Addis Ababa,Jimma,Main Market,No,0,5.0,321,In Stock,43,17.92,25x37x33 cm,6,2024-04-09,2025-11-25,Jimma Shop,3.3,"Books,Children,Jimma,Ethiopian-made"
ETP06364,ማርያም ቡና ሊት,,"Food storage containers. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Dire Dawa, Kezira. Perfect for Ethiopian New Year. ",,Home & Kitchen,Storage,2000,ETB,Jebena Co,Made in Dire Dawa,Dire Dawa,Kezira,Yes,3,4.2,7,In Stock,320,33.38,18x87x8 cm,12,2024-07-16,2025-12-01,Dire Dawa Trading,4.7,"Home & Kitchen,Storage,Dire Dawa,Imported"
ETP00440,Ethiopian Running Premium,ከፍተኛ ማሽን,"Running shoes. Made in Ethiopia with high quality materials. Suitable for home use. Available in Addis Ababa, Piassa. Perfect for dry season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ running,Sports,Running,1800,ETB,Adidas Ethiopia,Made in Bahir Dar,Addis Ababa,Piassa,No,0,4.4,300,Out of Stock,0,28.6,95x28x9 cm,24,2025-01-08,2025-12-08,Addis Ababa Store,3.2,"Sports,Running,Addis Ababa,Imported"
ETP02751,Ethiopian Chargers Standard,ኢትዮጵያ ካሜራ,"Wireless chargers. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Piassa. Perfect for Ethiopian New Year. ",,Electronics,Chargers,5400,ETB,Hisense Ethiopia,Made in Dire Dawa,Addis Ababa,Piassa,Yes,3,4.2,210,In Stock,747,46.01,37x31x24 cm,0,2024-01-07,2025-11-22,Addis Ababa Enterprises,4.4,"Electronics,Chargers,Addis Ababa,Imported"
ETP07488,ሃይለ ካሜራ ፕሮ,,"Fast chargers. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Harar, Old City. ",,Electronics,Chargers,16900,ETB,TECNO Mobile,Made in Bahir Dar,Harar,Old City,No,0,4.8,251,Low Stock,293,43.84,54x40x47 cm,3,2025-02-20,2025-12-06,Harar Enterprises,4.5,"Electronics,Chargers,Harar,Ethiopian-made"
ETP05273,Ethiopian Outdoor Standard,,"Camping gear. Made in Ethiopia with high quality materials. Suitable for office use. Available in Mekelle, Downtown. ",,Sports,Outdoor,1500,ETB,Nike Ethiopia,Made in Dire Dawa,Mekelle,Downtown,Yes,5,4.6,107,In Stock,340,47.21,39x41x28 cm,24,2024-01-01,2025-12-13,Mekelle Mart,3.5,"Sports,Outdoor,Mekelle,Ethiopian-made"
ETP05654,Ethiopian Spices Elite,ኢትዮጵያ ልብስ,"Traditional spice blends. Made in Ethiopia with high quality materials. Suitable for office use. Available in Mekelle, Downtown. Perfect for rainy season. ",,Food & Beverages,Spices,1200,ETB,Bale Foods,Made in Dire Dawa,Mekelle,Downtown,Yes,5,4.1,244,In Stock,242,29.68,72x84x38 cm,6,2025-01-15,2025-11-21,Mekelle Mart,4.1,"Food & Beverages,Spices,Mekelle,Ethiopian-made"
ETP04000,Ethiopian Bags Premium,ስማርት ቡና,"Traditional baskets. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Gondar, Royal City. Perfect for rainy season. ",,Fashion,Bags,950,ETB,Abyssinian Couture,Made in Ethiopia,Gondar,Royal City,Yes,3,5.0,134,In Stock,284,42.59,71x22x13 cm,0,2024-09-01,2025-12-10,Gondar Store,3.5,"Fashion,Bags,Gondar,Imported"
ETP06034,Ethiopian Children Pro,,"Activity books. Made in Ethiopia with high quality materials. Suitable for home use. Available in Addis Ababa, Megenagna. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ children,Books,Children,600,ETB,Mega Publishing,Made in Ethiopia,Addis Ababa,Megenagna,Yes,1,4.1,49,In Stock,379,49.4,45x51x16 cm,24,2024-06-16,2025-11-24,Addis Ababa Mart,3.0,"Books,Children,Addis Ababa,Ethiopian-made"
ETP00583,ማርያም ስልክ ፕሮ,ባህላዊ ስልክ,"Gaming smartphones. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Megenagna. ",,Electronics,Smartphones,6200,ETB,Haier Ethiopia,Made in Addis Ababa,Addis Ababa,Megenagna,No,0,4.8,477,Low Stock,877,29.12,40x50x7 cm,6,2024-10-01,2025-12-06,Addis Ababa Store,3.9,"Electronics,Smartphones,Addis Ababa,Ethiopian-made"
ETP09931,ኢትዮጵያ ሻይ ፕላስ,,"Football equipment. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Jimma, Main Market. ",,Sports,Football,1400,ETB,Abebe Bikila Sports,Made in Dire Dawa,Jimma,Main Market,No,0,3.2,112,Low Stock,84,42.02,78x66x37 cm,12,2025-10-30,2025-12-04,Jimma Trading,4.9,"Sports,Football,Jimma,Ethiopian-made"
ETP07052,ማርያም ስልክ ሊት,,"Traditional tea. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Bole. ",,Food & Beverages,Tea & Coffee,7500,ETB,Awash Coffee,Made in Dire Dawa,Addis Ababa,Bole,No,0,4.4,467,Out of Stock,0,24.21,23x51x29 cm,12,2024-03-26,2025-12-13,Addis Ababa Shop,3.1,"Food & Beverages,Tea & Coffee,Addis Ababa,Imported"
ETP08159,ዘመናዊ ቲቪ ስፔሻል,ባህላዊ ስልክ,"Traditional scarves. Made in Ethiopia with high quality materials. Suitable for commercial use. Available in Addis Ababa, Piassa. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ traditional wear,Fashion,Traditional Wear,1600,ETB,Meskel Square Designs,Made in Addis Ababa,Addis Ababa,Piassa,Yes,1,4.5,49,In Stock,611,13.46,57x87x18 cm,0,2025-07-13,2025-12-11,Addis Ababa Store,3.5,"Fashion,Traditional Wear,Addis Ababa,Ethiopian-made"
ETP09897,Ethiopian Accessories Pro,,"Belts and bags. Made in Ethiopia with high quality materials. Suitable for office use. Available in Bahir Dar, City Center. ",,Fashion,Accessories,19900,ETB,Addis Fashion,Made in Ethiopia,Bahir Dar,City Center,Yes,3,4.2,184,In Stock,807,48.76,41x84x48 cm,24,2025-11-12,2025-12-13,Bahir Dar Mart,3.3,"Fashion,Accessories,Bahir Dar,Ethiopian-made"
ETP02250,Ethiopian Cookware Plus,,"Modern cookware. Made in Ethiopia with high quality materials. Suitable for commercial use. Available in Addis Ababa, Bole. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ cookware,Home & Kitchen,Cookware,2700,ETB,Addis Home,Made in Addis Ababa,Addis Ababa,Bole,No,0,5.0,129,Low Stock,196,22.35,54x80x6 cm,6,2024-03-31,2025-12-16,Addis Ababa Shop,4.0,"Home & Kitchen,Cookware,Addis Ababa,Imported"
ETP04641,ሃይለ ልብስ ስፔሻል,ባህላዊ ማሽን,"Traditional jewelry. Made in Ethiopia with high quality materials. Suitable for commercial use. Available in Mekelle, Downtown. Perfect for rainy season. ",,Fashion,Accessories,4300,ETB,Ethio Style,Made in Dire Dawa,Mekelle,Downtown,No,0,4.4,406,Out of Stock,0,38.85,66x61x6 cm,3,2025-02-25,2025-11-25,Mekelle Shop,4.2,"Fashion,Accessories,Mekelle,Ethiopian-made"
ETP09486,Ethiopian Dairy Plus,ሰላም ስልክ,"Yogurt. Made in Ethiopia with high quality materials. Suitable for office use. Available in Bahir Dar, City Center. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ dairy,Food & Beverages,Dairy,650,ETB,Ethio Tea,Made in Bahir Dar,Bahir Dar,City Center,No,0,3.7,136,Out of Stock,0,42.68,23x16x9 cm,12,2025-02-09,2025-12-07,Bahir Dar Mart,3.7,"Food & Beverages,Dairy,Bahir Dar,Imported"
ETP04948,ብርሃን ቲቪ ማክስ,,"Outdoor games. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Piassa. ",,Sports,Outdoor,16500,ETB,Abebe Bikila Sports,Made in Addis Ababa,Addis Ababa,Piassa,Yes,3,4.2,71,In Stock,296,0.83,84x63x25 cm,0,2024-03-25,2025-12-02,Addis Ababa Trading,3.5,"Sports,Outdoor,Addis Ababa,Ethiopian-made"
ETP09921,Ethiopian Gym Equipment Premium,,"Home gym equipment. Made in Ethiopia with high quality materials. Suitable for office use. Available in Bahir Dar, City Center. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ gym equipment,Sports,Gym Equipment,4700,ETB,Nike Ethiopia,Made in Bahir Dar,Bahir Dar,City Center,No,0,4.2,262,In Stock,135,36.57,83x69x36 cm,24,2025-03-26,2025-12-07,Bahir Dar Trading,4.9,"Sports,Gym Equipment,Bahir Dar,Imported"
ETP01964,ብርሃን ማሽን ኤስ,ባህላዊ ቲቪ,"Running shoes. Made in Ethiopia with high quality materials. Suitable for office use. Available in Mekelle, Downtown. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ running,Sports,Running,4400,ETB,Ethiopian Olympics,Made in Bahir Dar,Mekelle,Downtown,No,0,4.9,369,Low Stock,162,15.47,85x37x11 cm,3,2024-05-15,2025-12-14,Mekelle Shop,3.1,"Sports,Running,Mekelle,Imported"
ETP08244,Ethiopian Decor Elite,ባህላዊ ስልክ,"Ethnic textiles. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Piassa. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ decor,Home & Kitchen,Decor,1800,ETB,Jebena Co,Made in Dire Dawa,Addis Ababa,Piassa,No,0,4.7,463,In Stock,264,3.51,43x11x15 cm,3,2025-06-05,2025-11-25,Addis Ababa Shop,4.4,"Home & Kitchen,Decor,Addis Ababa,Ethiopian-made"
ETP06591,Ethiopian Outdoor Elite,,"Hiking equipment. Made in Ethiopia with high quality materials. Suitable for home use. Available in Addis Ababa, Bole. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ outdoor,Sports,Outdoor,5200,ETB,Ethiopian Olympics,Made in Dire Dawa,Addis Ababa,Bole,No,0,3.3,477,In Stock,867,23.31,22x35x26 cm,24,2025-10-21,2025-11-21,Addis Ababa Shop,3.6,"Sports,Outdoor,Addis Ababa,Ethiopian-made"
ETP08848,ኢትዮጵያ ቡና ኤስ,ብርሃን ካሜራ,"Gaming laptops. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Bahir Dar, City Center. Perfect for Ethiopian New Year. ",,Electronics,Laptops,31400,ETB,TECNO Mobile,Made in Addis Ababa,Bahir Dar,City Center,No,0,5.0,365,Out of Stock,0,26.51,58x100x20 cm,3,2025-01-10,2025-11-19,Bahir Dar Store,3.0,"Electronics,Laptops,Bahir Dar,Ethiopian-made"
ETP00322,Ethiopian Religion Pro,ከፍተኛ ላፕቶፕ,"Religious texts. Made in Ethiopia with high quality materials. Suitable for home use. Available in Addis Ababa, Bole. Perfect for Ethiopian New Year. ",,Books,Religion,500,ETB,Birhanena Selam,Made in Ethiopia,Addis Ababa,Bole,Yes,4,4.0,450,In Stock,958,33.42,73x45x28 cm,0,2025-05-28,2025-11-29,Addis Ababa Enterprises,3.2,"Books,Religion,Addis Ababa,Ethiopian-made"
ETP02679,ማርያም መጽሐፍ ስፔሻል,,"Hats and caps. Made in Ethiopia with high quality materials. Suitable for home use. Available in Harar, Old City. ",,Fashion,Accessories,2600,ETB,Ethio Style,Made in Addis Ababa,Harar,Old City,Yes,2,3.9,365,In Stock,867,13.66,97x92x34 cm,6,2025-09-09,2025-11-26,Harar Trading,4.3,"Fashion,Accessories,Harar,Ethiopian-made"
ETP04626,ባህላዊ ጠረጴዛ ኤክስ,ባህላዊ ቲቪ,"Casual wear. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Bole. ",,Fashion,Modern Clothing,9600,ETB,Lucy Fashion House,Made in Bahir Dar,Addis Ababa,Bole,No,0,4.2,176,Low Stock,92,42.59,27x10x26 cm,3,2024-04-09,2025-12-06,Addis Ababa Enterprises,4.9,"Fashion,Modern Clothing,Addis Ababa,Ethiopian-made"
ETP04950,ሃይለ ቡና ዩኒቭርሳል,ኢትዮጵያ ስልክ,"Modern makeup. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Bole. Perfect for rainy season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ cosmetics,Health & Beauty,Cosmetics,7500,ETB,Lucy Beauty,Made in Ethiopia,Addis Ababa,Bole,Yes,4,4.7,278,In Stock,313,4.27,91x48x35 cm,0,2024-01-04,2025-11-24,Addis Ababa Enterprises,3.6,"Health & Beauty,Cosmetics,Addis Ababa,Imported"
ETP08329,ብርሃን ሻይ ሊት,ባህላዊ ማሽን,"Berbere spice. Made in Ethiopia with high quality materials. Suitable for office use. Available in Gondar, Royal City. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ spices,Food & Beverages,Spices,700,ETB,Addis Pasta,Made in Addis Ababa,Gondar,Royal City,No,0,4.0,356,Out of Stock,0,0.92,87x68x15 cm,24,2025-09-08,2025-12-12,Gondar Mart,4.9,"Food & Beverages,Spices,Gondar,Ethiopian-made"
ETP03338,ባህላዊ ቲቪ ኤክስ,,"Home organization. Made in Ethiopia with high quality materials. Suitable for commercial use. Available in Addis Ababa, Merkato. Perfect for dry season. ",,Home & Kitchen,Storage,31200,ETB,Jebena Co,Made in Dire Dawa,Addis Ababa,Merkato,No,0,5.0,112,Low Stock,536,9.6,29x24x10 cm,0,2025-01-28,2025-12-02,Addis Ababa Mart,3.7,"Home & Kitchen,Storage,Addis Ababa,Ethiopian-made"
ETP05590,ማርያም ቲቪ ፕሮ,ስማርት ቡና,"Traditional scarves. Made in Ethiopia with high quality materials. Suitable for home use. Available in Adama, Bishoftu Road. ",,Fashion,Traditional Wear,16600,ETB,Lucy Fashion House,Made in Ethiopia,Adama,Bishoftu Road,Yes,6,4.4,359,In Stock,493,10.85,60x80x36 cm,0,2024-05-20,2025-11-27,Adama Shop,4.6,"Fashion,Traditional Wear,Adama,Ethiopian-made"
ETP00252,ስማርት ስልክ ኤስ,ሰላም ሻይ,"Running shoes. Made in Ethiopia with high quality materials. Suitable for commercial use. Available in Dire Dawa, Kezira. Perfect for holiday season. ",,Sports,Running,900,ETB,Nike Ethiopia,Made in Ethiopia,Dire Dawa,Kezira,Yes,5,4.1,22,In Stock,108,36.6,71x93x17 cm,3,2025-08-29,2025-11-19,Dire Dawa Trading,4.4,"Sports,Running,Dire Dawa,Imported"
ETP03974,ሰላም ሻይ ስፔሻል,,"Oral care. Made in Ethiopia with high quality materials. Suitable for office use. Available in Gondar, Royal City. Perfect for dry season. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ personal care,Health & Beauty,Personal Care,13800,ETB,Lucy Beauty,Made in Bahir Dar,Gondar,Royal City,No,0,4.7,380,In Stock,558,18.93,52x72x5 cm,24,2024-10-09,2025-12-06,Gondar Mart,3.8,"Health & Beauty,Personal Care,Gondar,Ethiopian-made"
ETP06631,ብርሃን ላፕቶፕ ፕሮ,ዘመናዊ ሻይ,"Vitamin supplements. Made in Ethiopia with high quality materials. Suitable for home use. Available in Bahir Dar, City Center. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ supplements,Health & Beauty,Supplements,6200,ETB,Ethio Pharma,Made in Addis Ababa,Bahir Dar,City Center,No,0,4.2,412,In Stock,34,20.61,63x42x34 cm,0,2024-12-21,2025-12-02,Bahir Dar Trading,4.6,"Health & Beauty,Supplements,Bahir Dar,Ethiopian-made"
ETP05548,Ethiopian Cosmetics Pro,ስማርት ቡና,"Traditional cosmetics. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Gondar, Royal City. ",,Health & Beauty,Cosmetics,600,ETB,Sheba Cosmetics,Made in Bahir Dar,Gondar,Royal City,No,0,3.7,375,Out of Stock,0,8.65,84x78x49 cm,24,2025-07-04,2025-12-14,Gondar Trading,3.7,"Health & Beauty,Cosmetics,Gondar,Ethiopian-made"
ETP00036,ኢትዮጵያ ካሜራ ኤስ,,"Ethiopian history books. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Bahir Dar, City Center. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ history,Books,History,200,ETB,Ethiopian Publishers,Made in Ethiopia,Bahir Dar,City Center,No,0,4.7,311,Low Stock,925,32.11,47x46x29 cm,24,2024-02-13,2025-12-06,Bahir Dar Enterprises,4.7,"Books,History,Bahir Dar,Ethiopian-made"
ETP08363,Ethiopian Outdoor Plus,ማርያም ቡና,"Outdoor games. Made in Ethiopia with high quality materials. Suitable for home use. Available in Jijiga, Regional Center. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ outdoor,Sports,Outdoor,1500,ETB,Ethiopian Olympics,Made in Bahir Dar,Jijiga,Regional Center,Yes,1,4.9,442,In Stock,776,30.81,14x12x43 cm,0,2024-07-26,2025-12-10,Jijiga Shop,3.0,"Sports,Outdoor,Jijiga,Ethiopian-made"
ETP01514,Ethiopian Football Plus,,"Team jerseys. Made in Ethiopia with high quality materials. Suitable for office use. Available in Bahir Dar, City Center. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ football,Sports,Football,700,ETB,Adidas Ethiopia,Made in Ethiopia,Bahir Dar,City Center,Yes,7,4.4,94,In Stock,575,19.94,92x85x26 cm,24,2025-01-02,2025-11-17,Bahir Dar Store,3.9,"Sports,Football,Bahir Dar,Ethiopian-made"
ETP09318,ባህላዊ ቡና ሊት,ማርያም ልብስ,"Budget-friendly mobile phones. Made in Ethiopia with high quality materials. Suitable for office use. Available in Hawassa, Lake Side. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ smartphones,Electronics,Smartphones,13000,ETB,Hisense Ethiopia,Made in Addis Ababa,Hawassa,Lake Side,Yes,5,4.1,347,In Stock,266,47.02,51x84x36 cm,24,2025-06-21,2025-11-30,Hawassa Store,3.1,"Electronics,Smartphones,Hawassa,Ethiopian-made"
ETP00040,ኢትዮጵያ ማሽን ዩኒቭርሳል,ማርያም ላፕቶፕ,"Habesha kemis. Made in Ethiopia with high quality materials. Suitable for office use. Available in Bahir Dar, City Center. ",,Fashion,Traditional Wear,4300,ETB,Ethio Style,Made in Bahir Dar,Bahir Dar,City Center,Yes,6,4.6,305,In Stock,26,33.56,19x69x32 cm,24,2024-12-29,2025-12-13,Bahir Dar Shop,4.1,"Fashion,Traditional Wear,Bahir Dar,Imported"
ETP04820,ሰላም ልብስ ማክስ,,"Ethnic textiles. Made in Ethiopia with high quality materials. Suitable for office use. Available in Addis Ababa, Bole. ",,Home & Kitchen,Decor,26500,ETB,Addis Home,Made in Dire Dawa,Addis Ababa,Bole,Yes,2,5.0,24,In Stock,348,29.9,68x64x36 cm,0,2025-03-24,2025-12-10,Addis Ababa Mart,3.4,"Home & Kitchen,Decor,Addis Ababa,Ethiopian-made"
ETP03466,Ethiopian Furniture Plus,ከፍተኛ ስልክ,"Office furniture. Made in Ethiopia with high quality materials. Suitable for home use. Available in Addis Ababa, Megenagna. ",,Home & Kitchen,Furniture,16400,ETB,Lucy Kitchenware,Made in Ethiopia,Addis Ababa,Megenagna,Yes,2,3.7,441,In Stock,53,29.64,18x70x5 cm,0,2024-04-10,2025-11-21,Addis Ababa Enterprises,3.8,"Home & Kitchen,Furniture,Addis Ababa,Ethiopian-made"
ETP01761,ብርሃን ቡና ኤስ,ማርያም ልብስ,"Traditional pasta. Made in Ethiopia with high quality materials. Suitable for personal use. Available in Addis Ababa, Bole. ",ከፍተኛ ጥራት ያለው ኢትዮጵያዊ pasta & grains,Food & Beverages,Pasta & Grains,350,ETB,Tana Products,Made in Ethiopia,Addis Ababa,Bole,No,0,4.2,143,Out of Stock,0,23.05,96x36x49 cm,24,2025-06-29,2025-11-21,Addis Ababa Shop,3.5,"Food & Beverages,Pasta & Grains,Addis Ababa,Ethiopian-made"
